Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
An industrial case study on the use of {UML} in software maintenance and its perceived benefits and hurdles,"Fernández-Sáez, Ana M. and Chaudron, Michel R. V. and Genero, Marcela",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
An {Industrial} {Case} {Study} to {Examine} a {Non}-{Traditional} {Inspection} {Implementation} for {Requirements} {Specifications},"Laitenberger, Oliver and Beil, Thomas and Schwinn, Thilo",2002,Springer Link,Rejected,Out of Scope,,N/A,N/A
Presenting software engineering results using structured abstracts: a randomised experiment,"Budgen, David and Kitchenham, Barbara A. and Charters, Stuart M. and Turner, Mark and Brereton, Pearl and Linkman, Stephen G.",2008,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Retrieving Diverse Opinions from App Reviews,"Guzman, Emitza and Aly, Omar and Bruegge, Bernd",2015,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An experimental evaluation of the impact of system sequence diagrams and system operation contracts on the quality of the domain model,"Briand, Lionel and Labiche, Yvan and Madrazo-Rivera, Reymes",2011,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Designing human benchmark experiments for testing software agents,"Grant, R.D. and DeAngelis, D. and Luu, D. and Perry, D.E. and Ryall, K.",2011,El Compendex,Accepted,,Case Study,1.0,Explore relationships
Assessing IR-based traceability recovery tools through controlled experiments,"De Lucia, Andrea and Oliveto, Rocco and Tortora, Genoveffa",2009,El Compendex,Accepted,,Experiment,1.0,Validate measures
Does explanation improve the acceptance of decision support for product release planning?,"Du, Gengshen and Ruhe, Guenther",2009,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Security requirement elicitation techniques: The comparison of misuse cases and issue based information systems,"Ikram, Naveed and Siddiqui, Surayya and Khan, Naurin Farooq",2014,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An ontology for controlled experiments on Software Engineering,"Garcia, Rogerio Eduardo and Erika Nina, Hohn and Barbosa, Ellen Francine and Maldonado, Jose Carlos",2008,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Strategy to Support Replications of Controlled Experiments in Software Engineering,"Neto, Amadeu Anderlin",2019,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Describing What Experimental Software Engineering Experts Do When They Design Their Experiments - A Qualitative Study,"Fonseca, Liliane Sheyla da Silva and Seaman, Carolyn Budinger and Soares, Sergio Castelo Branco",2017,IEEE Xplore,Rejected,Out of Scope,,N/A,N/A
On the Shoulders of Giants,"Barr, Earl and Bird, Christian and Hyatt, Eric and Menzies, Tim and Robles, Gregorio",2010,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
An Industrial Case Study of Structural Testing Applied to Safety-Critical Embedded Software,"Guan, Jing and Offutt, Jeff and Ammann, Paul",2006,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Cohort Studies in Software Engineering: A Vision of the Future,"Saarim\""{a}ki, Nyyti and Lenarduzzi, Valentina and Vegas, Sira and Juristo, Natalia and Taibi, Davide",2020,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
A systematic review on multi-device inclusive environments,"Bittencourt, Ig Ibert and Baranauskas, Maria Cecília and Pereira, Roberto and Dermeval, Diego and Isotani, Seiji and Jaques, Patrícia",2016,Springer Link,Rejected,Not a primary study,,N/A,N/A
Automatic Extraction of the Main Terminology Used in Empirical Software Engineering through Text Mining Techniques,"Romero, Francisco P. and Olivas, Jos\'{e} A. and Genero, Marcela and Piattini, Mario",2008,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
